original;connected;weight;SENS UNIQUE;trafic
3.04263, 50.6313;3.04231, 50.63116;0;0;2
3.04263, 50.66746;3.0413, 50.6677;13;0;0
3.04263, 50.66746;3.04308, 50.66702;16;0;0
3.04263, 50.68556;3.04358, 50.68621;18;0;0
3.04263, 50.68556;3.04188, 50.68573;9;0;0
3.04264, 50.57893;3.04243, 50.57909;3;0;2
3.04264, 50.6349;3.04128, 50.6339;41;0;2
3.04265, 50.54815;3.04268, 50.54806;2;1;0
3.04265, 50.54815;3.04197, 50.54878;17;0;2
3.04266, 50.61633;3.04266, 50.61633;0;1;0
3.04267, 50.5525;3.04342, 50.55313;9;0;0
3.04267, 50.5525;3.04324, 50.55222;25;0;0
3.04267, 50.68701;3.04219, 50.68674;13;0;0
3.04267, 50.68701;3.04227, 50.68742;9;0;0
3.04267, 50.77068;3.04062, 50.77001;14;0;0
3.04267, 50.77068;3.04126, 50.77181;20;1;0
3.04267, 50.77068;3.04278, 50.77053;0;0;2
3.04268, 50.54806;3.04278, 50.54816;3;1;0
3.04268, 50.54806;3.04141, 50.54686;24;0;0
3.04269, 50.60477;3.04406, 50.60418;173;0;2
3.04269, 50.60477;3.04275, 50.60501;6;0;0
3.04272, 50.54618;3.04347, 50.54582;8;0;0
3.04272, 50.54618;3.04326, 50.5471;34;0;2
3.04272, 50.63247;3.04241, 50.63277;171;1;0
3.04272, 50.63247;3.04452, 50.63339;42;0;0
3.04272, 50.67174;3.04236, 50.6721;9;0;2
3.04273, 50.77249;3.042, 50.77236;8;0;0
3.04274, 50.62237;3.04306, 50.622;96;1;0
3.04274, 50.69231;3.04776, 50.69158;239;0;3
3.04275, 50.60501;3.04209, 50.6054;84;0;0
3.04275, 50.60501;3.04284, 50.60652;39;0;0
3.04275, 50.62912;3.0433, 50.62919;79;1;0
3.04275, 50.62912;3.04301, 50.6294;86;1;0
3.04277, 50.61261;3.0426, 50.61366;19;0;0
3.04277, 50.61261;3.04134, 50.61319;28;0;0
3.04278, 50.54816;3.04265, 50.54815;2;1;0
3.04278, 50.55583;3.04543, 50.55241;46;0;4
3.04278, 50.55583;3.0466, 50.55937;28;0;1
3.04278, 50.77053;3.04072, 50.76985;29;1;2
3.04279, 50.64718;3.04491, 50.64821;22;0;1
3.04279, 50.64718;3.04255, 50.64739;10;0;2
3.04281, 50.58589;3.04252, 50.58655;10;0;0
3.04281, 50.6123;3.04203, 50.61225;12;0;0
3.04281, 50.6123;3.04277, 50.61261;6;0;0
3.04281, 50.6215;3.04193, 50.62125;81;1;0
3.04281, 50.65084;3.04342, 50.65036;10;0;0
3.04281, 50.65084;3.04351, 50.6512;26;0;0
3.04281, 50.65774;3.04327, 50.65727;15;0;0
3.04281, 50.65774;3.04403, 50.65825;22;1;0
3.04282, 50.62096;3.04268, 50.62125;49;0;0
3.04284, 50.60652;3.04209, 50.6054;17;0;1
3.04284, 50.60652;3.04209, 50.6054;17;0;1
3.04284, 50.65307;3.04214, 50.6535;27;0;2
3.04284, 50.69488;3.04261, 50.69506;3;1;1
3.04285, 50.56456;3.04156, 50.56487;350;0;0
3.04285, 50.56456;3.04482, 50.56818;59;0;0
3.04285, 50.56456;3.03846, 50.55836;109;0;0
3.04286, 50.58578;3.04281, 50.58589;2;0;0
3.04286, 50.58578;3.04158, 50.58639;42;0;0
3.04286, 50.612;3.04281, 50.6123;6;0;0
3.04286, 50.612;3.04194, 50.61137;12;0;0
3.04288, 50.61995;3.04337, 50.61921;36;0;0
3.04288, 50.65632;3.04223, 50.65586;12;0;2
3.04289, 50.54242;3.04342, 50.54274;5;0;1
3.04289, 50.54242;3.03143, 50.5379;74;0;1
3.04289, 50.55082;3.04304, 50.55044;8;0;2
3.04289, 50.55082;3.04586, 50.55077;48;0;0
3.04291, 50.61166;3.04286, 50.612;6;0;0
3.04291, 50.66672;3.04101, 50.66708;68;1;0
3.04291, 50.75638;3.04085, 50.76641;153;0;0
3.04292, 50.6632;3.04321, 50.66361;9;0;0
3.04292, 50.6632;3.04235, 50.66356;9;0;0
3.04294, 50.57847;3.04313, 50.5786;3;0;2
3.04294, 50.5883;3.04141, 50.58837;14;1;0
3.04294, 50.5883;3.04429, 50.58851;11;0;0
3.04294, 50.60803;3.04117, 50.608;108;1;0
3.04297, 50.52505;3.04419, 50.52144;90;0;0
3.04297, 50.52505;3.03886, 50.52593;44;0;0
3.04297, 50.66042;3.04257, 50.66091;29;0;0
3.04299, 50.76821;3.04207, 50.76844;17;0;0
3.043, 50.61106;3.04291, 50.61166;12;0;0
3.043, 50.63481;3.04254, 50.63445;12;0;0
3.043, 50.63481;3.04264, 50.6349;67;0;2
3.04301, 50.6294;3.0433, 50.62919;87;1;0
3.04302, 50.66313;3.04292, 50.6632;0;0;0
3.04304, 50.55044;3.04451, 50.54762;75;0;2
3.04306, 50.622;3.04255, 50.6218;8;1;0
3.04308, 50.60689;3.04284, 50.60652;7;0;1
3.04308, 50.60689;3.04284, 50.60652;7;0;1
3.04308, 50.66702;3.04324, 50.66699;2;0;0
3.04308, 50.66702;3.04291, 50.66672;5;0;0
3.04308, 50.76907;3.04256, 50.76875;9;0;0
3.04308, 50.76907;3.0428, 50.76947;14;0;2
3.04309, 50.54293;3.04261, 50.54271;5;0;1
3.04309, 50.54293;3.04464, 50.54457;37;0;1
3.04309, 50.64944;3.04455, 50.64946;19;0;0
3.04309, 50.64944;3.0431, 50.65017;25;0;0
3.0431, 50.58427;3.04324, 50.58326;21;0;2
3.0431, 50.58427;3.04324, 50.58326;21;0;2
3.0431, 50.58526;3.04262, 50.58518;12;0;0
3.0431, 50.58526;3.04286, 50.58578;7;0;0
3.04311, 50.53954;3.04538, 50.53385;201;0;4
3.04311, 50.63491;3.043, 50.63481;2;0;0
3.04311, 50.63491;3.04404, 50.63496;20;0;2
3.04311, 50.68877;3.04255, 50.68911;7;0;0
3.04311, 50.68877;3.04279, 50.68856;0;0;2
3.04311, 50.69188;3.04287, 50.69156;7;0;2
3.04311, 50.69188;3.04317, 50.69221;0;0;2
3.04312, 50.66208;3.04243, 50.66178;96;1;0
3.04312, 50.66208;3.04243, 50.66178;96;1;0
3.04312, 50.68664;3.04267, 50.68701;7;0;0
3.04312, 50.68664;3.04341, 50.68681;7;0;2
3.04313, 50.5786;3.04422, 50.579;105;0;2
3.04313, 50.5786;3.04264, 50.57893;8;0;2
3.04314, 50.63091;3.0418, 50.63027;42;1;0
3.04314, 50.66757;3.04263, 50.66746;5;0;0
3.04314, 50.66757;3.04254, 50.6682;95;1;0
3.04315, 50.58516;3.04388, 50.58544;18;0;0
3.04315, 50.58516;3.0431, 50.58526;2;0;0
3.04315, 50.62105;3.04288, 50.62131;69;0;0
3.04315, 50.62154;3.04324, 50.62144;3;0;2
3.04316, 50.52648;3.04623, 50.5286;44;0;3
3.04316, 50.52648;3.03722, 50.51792;798;0;9
3.04317, 50.54858;3.0444, 50.54745;18;0;0
3.04317, 50.54858;3.04278, 50.54816;8;0;0
3.04318, 50.62388;3.04178, 50.62319;24;0;0
3.04318, 50.62388;3.04387, 50.62333;105;0;0
3.04318, 50.67137;3.04272, 50.67174;11;0;2
3.0432, 50.61915;3.04328, 50.61904;3;1;1
3.04321, 50.60712;3.04308, 50.60689;5;0;1
3.04321, 50.60712;3.04105, 50.60794;45;0;0
3.04321, 50.60712;3.04524, 50.6065;31;0;0
3.04321, 50.66361;3.04347, 50.66352;4;0;0
3.04321, 50.66361;3.04342, 50.66403;19;0;0
3.04322, 50.60895;3.04327, 50.60906;27;1;0
3.04322, 50.60895;3.04096, 50.60866;32;1;0
3.04324, 50.55222;3.04396, 50.55282;9;0;0
3.04324, 50.58326;3.04333, 50.58295;10;0;2
3.04325, 50.62679;3.0424, 50.62604;175;1;0
3.04325, 50.67085;3.04366, 50.67102;7;0;2
3.04327, 50.60906;3.04362, 50.60911;42;1;0
3.04327, 50.65727;3.04211, 50.65701;44;0;0
3.04327, 50.77257;3.04273, 50.77249;5;0;0
3.04327, 50.77257;3.04402, 50.77369;40;1;0
3.04328, 50.58485;3.04315, 50.58516;5;0;0
3.04328, 50.58485;3.0431, 50.58427;12;0;2
3.04328, 50.58485;3.04518, 50.58524;16;0;0
3.04328, 50.61904;3.04348, 50.61911;4;1;1
3.04329, 50.58153;3.04435, 50.58171;20;0;1
3.04329, 50.58153;3.04418, 50.58103;11;0;0
3.0433, 50.62919;3.04189, 50.6278;39;0;0
3.0433, 50.62919;3.04359, 50.62898;86;1;0
3.04331, 50.66294;3.04302, 50.66313;4;0;0
3.04331, 50.66413;3.04273, 50.66447;10;0;0
3.04331, 50.66413;3.04342, 50.66403;4;1;0
3.04331, 50.68647;3.04312, 50.68664;3;0;0
3.04333, 50.58295;3.04345, 50.58275;8;0;2
3.04334, 50.76998;3.04413, 50.76986;45;0;2
3.04334, 50.76998;3.0438, 50.76933;37;0;2
3.04335, 50.77071;3.04375, 50.77049;1;0;2
3.04335, 50.77071;3.04278, 50.77053;4;1;2
3.04337, 50.61921;3.0432, 50.61915;3;1;1
3.04338, 50.634;3.04189, 50.63326;81;1;0
3.04338, 50.634;3.04452, 50.63339;133;1;0
3.0434, 50.60885;3.04322, 50.60895;21;1;0
3.0434, 50.60885;3.04294, 50.60803;153;1;0
3.0434, 50.62009;3.04288, 50.61995;46;0;0
3.0434, 50.62009;3.04399, 50.61905;19;1;0
3.04341, 50.586;3.0433, 50.58626;5;0;5
3.04341, 50.586;3.04281, 50.58589;11;0;0
3.04342, 50.54274;3.04853, 50.53945;52;0;1
3.04342, 50.54274;3.04309, 50.54293;3;0;1
3.04342, 50.6137;3.0426, 50.61366;9;0;0
3.04342, 50.6137;3.04348, 50.61331;136;1;0
3.04342, 50.65036;3.04414, 50.65079;52;0;0
3.04342, 50.65036;3.04455, 50.64946;20;0;0
3.04342, 50.66403;3.04357, 50.66411;2;1;0
3.04345, 50.58275;3.04333, 50.58295;8;0;2
3.04345, 50.58275;3.04386, 50.58244;7;0;2
3.04346, 50.66421;3.04422, 50.66472;12;0;0
3.04346, 50.66421;3.04331, 50.66413;3;1;0
3.04346, 50.77632;3.05028, 50.77792;196;0;3
3.04347, 50.54582;3.0402, 50.54687;42;0;2
3.04347, 50.54582;3.0437, 50.54576;3;0;0
3.04348, 50.61911;3.04399, 50.61905;55;0;1
3.04348, 50.61911;3.04337, 50.61921;3;1;1
3.04349, 50.65883;3.04224, 50.65835;16;0;0
3.04349, 50.65883;3.04403, 50.65825;82;1;0
3.04351, 50.6512;3.0436, 50.65114;1;0;0
3.04351, 50.70961;3.04355, 50.70942;3;0;0
3.04351, 50.70961;3.04355, 50.70942;3;0;0
3.04353, 50.63524;3.04404, 50.63496;10;1;0
3.04353, 50.63524;3.04311, 50.63491;9;0;0
3.04353, 50.65254;3.04369, 50.65262;3;0;0
3.04353, 50.65254;3.04422, 50.65202;13;0;0
3.04354, 50.63169;3.04272, 50.63247;170;1;0
3.04354, 50.63169;3.0441, 50.63196;0;0;2
3.04354, 50.63563;3.04354, 50.63605;76;0;2
3.04354, 50.63563;3.04264, 50.6349;24;0;2
3.04356, 50.71197;3.04351, 50.70961;34;0;0
3.04356, 50.71197;3.04455, 50.71261;11;0;2
3.04357, 50.66411;3.04346, 50.66421;3;1;0
3.04357, 50.66411;3.04399, 50.66387;6;0;0
3.04358, 50.62172;3.04281, 50.6215;131;1;0
3.04358, 50.68621;3.04331, 50.68647;4;0;0
3.04358, 50.68839;3.04311, 50.68877;8;0;0
3.04358, 50.68839;3.04264, 50.68796;67;0;0
3.04359, 50.62898;3.04214, 50.62761;60;1;0
3.04359, 50.62898;3.04454, 50.62831;171;1;0
3.0436, 50.63891;3.04537, 50.64301;491;0;3
3.0436, 50.65114;3.04422, 50.65152;10;0;0
3.0436, 50.65114;3.04414, 50.65079;9;0;0
3.04362, 50.60911;3.04371, 50.60895;190;1;0
3.04362, 50.62119;3.04342, 50.62146;104;0;6
3.04364, 50.68302;3.0438, 50.68299;2;1;1
3.04364, 50.68302;3.04163, 50.68242;20;0;1
3.04366, 50.67102;3.04482, 50.67167;13;0;2
3.04366, 50.67102;3.04318, 50.67137;19;0;2
3.04368, 50.58717;3.04461, 50.58769;20;0;0
3.04368, 50.58717;3.04461, 50.58769;20;0;0
3.04368, 50.60784;3.04321, 50.60712;18;0;1
3.04368, 50.60784;3.04294, 50.60803;95;1;0
3.04368, 50.61171;3.04291, 50.61166;9;0;0
3.04368, 50.61171;3.04378, 50.61102;16;1;0
3.04368, 50.65524;3.04223, 50.65586;212;1;1
3.04369, 50.65262;3.04424, 50.65292;12;0;0
3.04369, 50.65262;3.04284, 50.65307;20;0;2
3.0437, 50.54576;3.04476, 50.54566;33;0;0
3.04371, 50.60895;3.0434, 50.60885;18;1;0
3.04371, 50.66511;3.04424, 50.66577;175;0;0
3.04371, 50.66511;3.04273, 50.66447;26;0;0
3.04372, 50.56788;3.04459, 50.5692;10;0;1
3.04372, 50.56788;3.04459, 50.5692;10;0;1
3.04372, 50.77564;3.04305, 50.77656;15;0;1
3.04372, 50.77564;3.04346, 50.77632;8;0;2
3.04376, 50.6831;3.04364, 50.68302;2;1;1
3.04376, 50.68441;3.04383, 50.6843;4;1;0
3.04376, 50.771;3.04273, 50.77249;67;1;0
3.04376, 50.771;3.04267, 50.77068;7;0;0
3.04376, 50.771;3.04335, 50.77071;4;1;2
3.04378, 50.61102;3.04459, 50.61108;55;0;0
3.04378, 50.61102;3.043, 50.61106;50;1;0
3.0438, 50.62508;3.0424, 50.62604;43;1;0
3.0438, 50.68299;3.04376, 50.6831;2;1;1
3.0438, 50.76933;3.04308, 50.76907;10;0;0
3.04381, 50.5769;3.04457, 50.57735;77;0;2
3.04381, 50.5769;3.04231, 50.57808;32;0;2
3.04383, 50.6843;3.04404, 50.68406;6;0;0
3.04383, 50.6843;3.04394, 50.68437;8;1;0
3.04385, 50.61044;3.04378, 50.61102;92;1;0
3.04385, 50.61044;3.04362, 50.60911;141;1;0
3.04385, 50.61044;3.04323, 50.61039;9;0;0
3.04386, 50.58244;3.04435, 50.58171;166;0;2
3.04386, 50.66655;3.04406, 50.66702;12;0;0
3.04386, 50.66655;3.04291, 50.66672;63;1;0
3.04387, 50.62333;3.0443, 50.62298;173;0;0
3.04387, 50.62333;3.04243, 50.62273;23;1;0
3.04387, 50.66231;3.04331, 50.66294;113;0;0
3.04387, 50.66231;3.04312, 50.66208;160;1;0
3.04388, 50.58544;3.04426, 50.58555;7;0;0
3.04388, 50.58544;3.04373, 50.58577;7;0;5
3.04389, 50.65898;3.04297, 50.66042;36;0;0
3.04389, 50.65898;3.04349, 50.65883;5;0;0
3.0439, 50.63545;3.04353, 50.63524;7;0;0
3.0439, 50.63545;3.04354, 50.63563;7;0;2
3.04394, 50.68437;3.04376, 50.68441;8;1;0
3.04394, 50.68437;3.04494, 50.68477;15;0;0
3.04394, 50.68911;3.04445, 50.68974;22;0;2
3.04394, 50.68911;3.04311, 50.68877;12;0;2
3.04395, 50.58605;3.04341, 50.586;9;0;0
3.04395, 50.58605;3.04402, 50.58627;10;0;5
3.04395, 50.62121;3.04229, 50.62075;55;1;0
3.04395, 50.62121;3.04358, 50.62172;118;0;2
3.04395, 50.6313;3.04354, 50.63169;179;1;0
3.04395, 50.6313;3.04314, 50.63091;22;1;0
3.04397, 50.68235;3.04466, 50.68171;18;0;2
3.04397, 50.68235;3.04191, 50.68148;17;0;0
3.04399, 50.61905;3.04451, 50.61899;173;0;1
3.04402, 50.77369;3.04372, 50.77564;70;1;1
3.04403, 50.65825;3.04443, 50.65798;217;1;0
3.04404, 50.63496;3.04536, 50.63417;27;1;0
3.04404, 50.68237;3.04469, 50.6818;25;0;2
3.04404, 50.68237;3.04397, 50.68235;1;0;0
3.04406, 50.60418;3.04525, 50.60493;14;0;0
3.04406, 50.66702;3.04314, 50.66757;16;0;0
3.04407, 50.62185;3.04358, 50.62172;146;1;0
3.04409, 50.62734;3.04325, 50.62679;112;1;0
3.0441, 50.60847;3.04497, 50.60826;13;0;0
3.0441, 50.60847;3.04368, 50.60784;11;0;1
3.0441, 50.61174;3.04406, 50.61201;49;0;2
3.0441, 50.61174;3.04368, 50.61171;5;1;0
3.0441, 50.61224;3.04414, 50.61202;3;0;0
3.04411, 50.77345;3.04402, 50.77369;3;0;1
3.04412, 50.69973;3.04646, 50.69559;60;0;0
3.04414, 50.62123;3.04438, 50.6209;7;0;2
3.04414, 50.65079;3.04441, 50.65062;4;0;0
3.04415, 50.62162;3.0441, 50.62145;4;0;2
3.04418, 50.52795;3.04316, 50.52648;828;0;9
3.04418, 50.58103;3.04441, 50.58118;4;1;0
3.04418, 50.58103;3.04496, 50.58066;14;0;0
3.04418, 50.68333;3.04376, 50.6831;6;0;0
3.04418, 50.68333;3.04273, 50.68436;44;0;0
3.04419, 50.67053;3.04366, 50.67102;59;0;2
3.04419, 50.67053;3.04455, 50.67065;6;0;2
3.0442, 50.61226;3.04427, 50.61208;15;0;0
3.04421, 50.61241;3.04286, 50.612;110;1;0
3.04421, 50.61241;3.04277, 50.61261;132;1;0
3.04422, 50.579;3.04525, 50.57967;24;0;2
3.04422, 50.65152;3.04455, 50.65181;7;0;0
3.04422, 50.66472;3.04452, 50.66486;6;0;0
3.04422, 50.66472;3.04371, 50.66511;15;0;0
3.04424, 50.66577;3.04386, 50.66655;20;0;0
3.04424, 50.66577;3.04493, 50.66597;8;0;0
3.04426, 50.58555;3.04472, 50.5855;15;0;0
3.04426, 50.58555;3.04395, 50.58605;18;0;0
3.04428, 50.68782;3.04358, 50.68839;12;0;0
3.04428, 50.68782;3.04499, 50.68832;15;0;0
3.04428, 50.68782;3.04267, 50.68701;25;0;0
3.04429, 50.58851;3.04518, 50.58864;9;0;0
3.0443, 50.62298;3.04472, 50.62265;229;0;0
3.0443, 50.62298;3.04274, 50.62237;225;1;0
3.04431, 50.6088;3.0441, 50.60847;5;0;1
3.04431, 50.6088;3.04371, 50.60895;11;0;0
3.04432, 50.65578;3.04368, 50.65524;17;1;0
3.04435, 50.58171;3.0447, 50.58175;3;0;1
3.04435, 50.58171;3.04441, 50.58118;41;0;0
3.04436, 50.64832;3.04232, 50.64942;30;0;0
3.04436, 50.64832;3.04485, 50.64916;78;0;0
3.04437, 50.66165;3.04387, 50.66231;153;1;0
3.04437, 50.66165;3.04257, 50.66091;28;1;0
3.04439, 50.65493;3.04536, 50.65567;21;1;0
3.04439, 50.65493;3.04368, 50.65524;62;1;1
3.0444, 50.54745;3.04441, 50.54731;2;1;0
3.0444, 50.77559;3.04509, 50.77548;46;1;5
3.0444, 50.77559;3.04372, 50.77564;5;0;0
3.04441, 50.54731;3.04459, 50.5473;2;1;0
3.04441, 50.54731;3.0437, 50.54576;48;0;2
3.04441, 50.58118;3.0449, 50.58153;8;1;0
3.04441, 50.65062;3.04506, 50.65103;16;0;0
3.04441, 50.65062;3.04524, 50.65008;14;0;0
3.04442, 50.59047;3.043, 50.59026;22;0;0
3.04442, 50.59047;3.04456, 50.59193;18;0;0
3.04442, 50.62136;3.04395, 50.62121;11;1;0
3.04442, 50.62136;3.04407, 50.62185;39;0;0
3.04443, 50.65798;3.04505, 50.65821;85;0;0
3.04443, 50.65798;3.04469, 50.65783;221;0;0
3.04445, 50.62462;3.0438, 50.62508;14;1;0
3.04445, 50.62462;3.04318, 50.62388;27;0;0
3.04446, 50.68887;3.04516, 50.68946;20;0;2
3.04446, 50.68887;3.04394, 50.68911;7;0;2
3.04448, 50.61177;3.0441, 50.61174;4;1;0
3.04448, 50.61177;3.04444, 50.61209;8;0;2
3.04448, 50.61177;3.04459, 50.61108;183;1;0
3.04449, 50.62713;3.04486, 50.62736;25;0;6
3.04449, 50.68088;3.04449, 50.68088;0;0;0
3.04451, 50.54762;3.04453, 50.54749;2;0;2
3.04451, 50.61899;3.04505, 50.61892;173;0;1
3.04451, 50.61899;3.04505, 50.61892;173;0;0
3.04452, 50.63339;3.04613, 50.63195;163;1;0
3.04453, 50.54749;3.0444, 50.54745;1;1;0
3.04454, 50.62831;3.04508, 50.62792;170;1;0
3.04455, 50.61243;3.04449, 50.61275;8;0;0
3.04455, 50.61243;3.04421, 50.61241;139;1;0
3.04455, 50.64946;3.04555, 50.64968;208;0;0
3.04455, 50.65181;3.04422, 50.65202;5;0;0
3.04455, 50.65181;3.04502, 50.65224;10;0;0
3.04455, 50.6617;3.04486, 50.66136;77;0;0
3.04455, 50.6617;3.04437, 50.66165;4;0;0
3.04455, 50.67065;3.04436, 50.67087;5;0;2
3.04455, 50.67065;3.0452, 50.67085;9;0;2
3.04456, 50.59193;3.04467, 50.59215;3;0;0
3.04456, 50.59193;3.04218, 50.59209;21;0;0
3.04457, 50.57735;3.04572, 50.57798;39;0;2
3.04457, 50.57735;3.04294, 50.57847;29;0;2
3.04459, 50.5473;3.04466, 50.54741;2;1;0
3.04459, 50.5473;3.0455, 50.54664;16;0;0
3.04459, 50.5692;3.04574, 50.57107;14;0;1
3.04459, 50.61108;3.04469, 50.6105;59;1;0
3.04459, 50.77279;3.04411, 50.77345;75;0;1
3.04459, 50.77279;3.04327, 50.77257;77;0;0
3.04461, 50.58769;3.04429, 50.58851;56;0;0
3.04461, 50.68265;3.04404, 50.68237;5;0;0
3.04461, 50.68265;3.0438, 50.68299;9;0;1
3.04462, 50.59005;3.04442, 50.59047;5;0;0
3.04462, 50.67799;3.04462, 50.67799;0;1;2
3.04464, 50.54457;3.04765, 50.54354;69;0;2
3.04464, 50.54457;3.04508, 50.54556;29;0;1
3.04464, 50.65559;3.04432, 50.65578;8;0;2
3.04464, 50.69281;3.04555, 50.69294;2;0;3
3.04464, 50.69281;3.04601, 50.69278;0;0;3
3.04466, 50.54741;3.04453, 50.54749;2;1;0
3.04467, 50.65604;3.04536, 50.65567;61;1;0
3.04467, 50.65604;3.04432, 50.65578;5;1;0
3.04468, 50.63585;3.04539, 50.63542;75;1;0
3.04468, 50.63585;3.0439, 50.63545;14;0;0
3.04469, 50.6105;3.04385, 50.61044;173;1;0
3.04469, 50.65783;3.04535, 50.65744;217;1;0
3.04469, 50.65783;3.04327, 50.65727;115;1;0
3.0447, 50.58175;3.04511, 50.58191;4;0;1
3.04472, 50.62265;3.04306, 50.622;31;1;0
3.04472, 50.62265;3.04526, 50.6222;138;0;0
3.04473, 50.63057;3.04395, 50.6313;189;1;0
3.04473, 50.63057;3.0433, 50.62919;77;0;0
3.04474, 50.61247;3.04467, 50.6128;147;0;0
3.04476, 50.54566;3.04508, 50.54556;4;1;1
3.04477, 50.63654;3.04542, 50.63619;12;0;0
3.04477, 50.63654;3.0463, 50.63683;36;0;0
3.04478, 50.57862;3.04422, 50.579;14;0;2
3.04478, 50.57862;3.04579, 50.5792;16;0;2
3.04478, 50.63363;3.043, 50.63481;65;1;0
3.04478, 50.63363;3.04452, 50.63339;9;0;0
3.04481, 50.66261;3.04401, 50.66341;92;0;2
3.04481, 50.66261;3.04539, 50.66196;14;0;0
3.04481, 50.66261;3.04387, 50.66231;86;1;0
3.04482, 50.62482;3.04555, 50.62436;18;0;0
3.04482, 50.62482;3.04445, 50.62462;5;0;0
3.04482, 50.67167;3.04594, 50.67199;13;0;2
3.04484, 50.62685;3.04409, 50.62734;105;1;0
3.04485, 50.64916;3.04555, 50.64968;208;0;0
3.04485, 50.66632;3.04493, 50.66597;88;1;0
3.04485, 50.66632;3.04406, 50.66702;20;1;0
3.04486, 50.52965;3.04418, 50.52795;609;0;3
3.04486, 50.66136;3.04524, 50.66101;17;0;0
3.04486, 50.66136;3.04297, 50.66042;60;1;0
3.04487, 50.62396;3.04387, 50.62333;22;1;0
3.04487, 50.62396;3.04539, 50.62347;11;0;0
3.04488, 50.64476;3.04537, 50.64301;109;0;3
3.04488, 50.64476;3.04784, 50.64635;46;0;3
3.04488, 50.65995;3.04524, 50.66101;38;1;0
3.0449, 50.58153;3.0447, 50.58175;38;1;0
3.04491, 50.64821;3.04721, 50.6494;19;0;1
3.04491, 50.64821;3.04436, 50.64832;6;0;0
3.04493, 50.66597;3.04501, 50.66569;6;0;0
3.04493, 50.66597;3.04669, 50.66647;15;0;0
3.04494, 50.68477;3.04263, 50.68556;26;0;0
3.04496, 50.58066;3.04243, 50.57909;53;0;2
3.04496, 50.58066;3.04602, 50.57994;22;0;0
3.04496, 50.5892;3.04462, 50.59005;14;0;0
3.04496, 50.5892;3.04415, 50.58876;18;0;0
3.04497, 50.60826;3.04485, 50.60752;22;0;2
3.04497, 50.60826;3.04633, 50.60793;32;0;0
3.04499, 50.68049;3.04449, 50.68088;11;0;0
3.04499, 50.68049;3.04226, 50.68108;48;0;0
3.04499, 50.68832;3.04652, 50.68938;22;0;0
3.04499, 50.68832;3.04446, 50.68887;19;0;2
3.04501, 50.66569;3.04597, 50.66597;11;0;0
3.04501, 50.66569;3.04519, 50.66526;13;1;0
3.04502, 50.65224;3.04555, 50.65273;18;0;0
3.04502, 50.65224;3.04576, 50.65193;13;0;0
3.04503, 50.62539;3.04482, 50.62482;11;0;0
3.04503, 50.62539;3.04325, 50.62679;120;1;0
3.04503, 50.68468;3.04494, 50.68477;1;0;0
3.04503, 50.68468;3.04568, 50.68563;53;0;0
3.04505, 50.61892;3.04624, 50.61876;167;0;1
3.04505, 50.65821;3.04567, 50.65756;220;0;0
3.04506, 50.77233;3.04755, 50.7733;41;0;2
3.04506, 50.77233;3.04459, 50.77279;11;0;1
3.04508, 50.54556;3.04514, 50.54595;8;1;1
3.04508, 50.62792;3.04409, 50.62734;163;1;0
3.04508, 50.7697;3.0438, 50.76933;20;0;0
3.04508, 50.7697;3.0451, 50.76866;24;0;0
3.04509, 50.77548;3.04524, 50.77557;2;0;0
3.04509, 50.77548;3.0444, 50.77559;30;0;0
3.0451, 50.76821;3.04299, 50.76821;24;0;0
3.0451, 50.76821;3.04513, 50.76766;5;0;2
3.0451, 50.76866;3.0451, 50.76821;8;0;0
3.04511, 50.58191;3.04386, 50.58244;202;0;0
3.04511, 50.58191;3.04527, 50.582;3;0;1
3.04512, 50.68262;3.04461, 50.68265;4;0;1
3.04513, 50.61247;3.04455, 50.61243;134;1;0
3.04513, 50.61247;3.04507, 50.61279;62;0;2
3.04514, 50.54595;3.04476, 50.54566;7;1;1
3.04514, 50.54595;3.0455, 50.54664;27;0;1
3.04515, 50.66465;3.04424, 50.66577;36;0;0
3.04516, 50.5818;3.0453, 50.58145;8;0;2
3.04516, 50.5818;3.0449, 50.58153;81;1;0
3.04517, 50.59208;3.04467, 50.59215;12;0;0
3.04517, 50.59208;3.04745, 50.5939;70;0;0
3.04517, 50.77391;3.04411, 50.77345;16;0;0
3.04517, 50.77391;3.04541, 50.77355;10;0;2
3.04518, 50.58524;3.0454, 50.58533;2;0;0
3.04518, 50.58864;3.04816, 50.58909;44;0;0
3.04518, 50.58864;3.04496, 50.5892;9;0;0
3.04518, 50.63703;3.04088, 50.63768;114;0;0
3.04519, 50.66526;3.04515, 50.66465;25;1;0
3.04519, 50.66526;3.04515, 50.66465;25;1;0
3.0452, 50.67085;3.04502, 50.67107;5;0;2
3.0452, 50.67085;3.04482, 50.67167;22;0;2
3.0452, 50.69027;3.04311, 50.69188;68;0;2
3.0452, 50.69027;3.04377, 50.69056;30;0;2
3.04522, 50.65472;3.04631, 50.65641;67;0;6
3.04523, 50.58944;3.04577, 50.58981;28;0;0
3.04524, 50.6065;3.04588, 50.60635;5;0;0
3.04524, 50.65008;3.04546, 50.64994;4;0;0
3.04524, 50.65008;3.04591, 50.65053;17;0;0
3.04524, 50.66101;3.04488, 50.65995;49;1;0
3.04524, 50.77557;3.04425, 50.77572;34;0;5
3.04524, 50.77557;3.0463, 50.776;15;0;0
3.04525, 50.57967;3.04602, 50.57994;74;0;2
3.04525, 50.60589;3.04525, 50.60589;0;0;2
