original;connected;weight;SENS UNIQUE;trafic
2.80439, 50.53291;2.80526, 50.5337;14;0;0
2.80439, 50.53291;2.8042, 50.53277;11;0;0
2.8044, 50.53142;2.80421, 50.53131;139;0;1
2.8044, 50.53142;2.80626, 50.53161;29;0;1
2.80441, 50.53013;2.80621, 50.53037;108;1;0
2.80441, 50.53013;2.80426, 50.53077;14;1;0
2.80445, 50.52997;2.80441, 50.53013;3;1;0
2.80445, 50.52997;2.80369, 50.5299;70;1;0
2.8045, 50.5279;2.8045, 50.5279;0;1;0
2.8045, 50.5279;2.80457, 50.52816;34;0;5
2.80454, 50.53634;2.80564, 50.53608;18;1;0
2.80454, 50.53634;2.80413, 50.53589;11;0;2
2.80457, 50.52816;2.8048, 50.52827;3;1;0
2.80457, 50.53864;2.80467, 50.53885;4;0;0
2.80457, 50.53864;2.80445, 50.53837;6;0;0
2.8047, 50.52888;2.80445, 50.52997;17;1;0
2.8047, 50.52888;2.80286, 50.52833;26;1;0
2.8048, 50.52827;2.8047, 50.52888;10;1;0
2.8048, 50.52827;2.80573, 50.52851;22;0;5
2.8048, 50.52827;2.80514, 50.52826;131;0;5
2.80481, 50.53647;2.80414, 50.53664;6;0;0
2.80481, 50.53647;2.80514, 50.53721;9;0;0
2.80499, 50.53824;2.80509, 50.53854;9;0;0
2.80499, 50.53824;2.80314, 50.53827;20;0;0
2.80509, 50.53854;2.80471, 50.53922;18;0;0
2.80509, 50.53854;2.80457, 50.53864;6;0;0
2.80512, 50.53519;2.80564, 50.53608;94;0;2
2.80512, 50.53519;2.80481, 50.53524;0;0;2
2.80514, 50.52826;2.80514, 50.52826;0;1;5
2.80514, 50.53721;2.80566, 50.53709;4;0;0
2.80514, 50.53721;2.80559, 50.53817;12;0;0
2.80526, 50.5337;2.80543, 50.5341;5;0;0
2.80526, 50.5337;2.80464, 50.53402;12;0;0
2.80528, 50.53516;2.80512, 50.53519;2;0;2
2.80543, 50.5341;2.80581, 50.5351;12;0;0
2.80543, 50.5341;2.80473, 50.53442;12;0;0
2.80548, 50.53826;2.80499, 50.53824;4;0;0
2.80548, 50.53826;2.80559, 50.53817;1;1;0
2.80557, 50.59297;2.80059, 50.59545;61;0;0
2.80557, 50.59297;2.80204, 50.58955;28;0;0
2.80559, 50.53817;2.80576, 50.53827;2;1;0
2.80564, 50.53608;2.80573, 50.53625;12;0;0
2.80566, 50.53709;2.80555, 50.53671;10;0;2
2.80566, 50.53709;2.80675, 50.53683;8;0;0
2.80566, 50.53836;2.80548, 50.53826;13;1;0
2.80566, 50.53836;2.80642, 50.53999;33;0;0
2.80573, 50.53625;2.80481, 50.53647;9;0;0
2.80576, 50.53827;2.80566, 50.53836;2;1;0
2.80581, 50.5351;2.80649, 50.53606;13;0;0
2.80581, 50.5351;2.80528, 50.53516;8;0;2
2.80585, 50.59333;2.80557, 50.59297;107;0;0
2.80612, 50.53356;2.80625, 50.53398;6;0;0
2.80612, 50.53356;2.80526, 50.5337;9;0;0
2.80621, 50.53037;2.80626, 50.53161;104;1;0
2.80621, 50.53037;2.80661, 50.53045;6;0;0
2.80625, 50.53398;2.80543, 50.5341;8;0;0
2.80625, 50.53398;2.80637, 50.53442;5;0;0
2.80626, 50.53161;2.8065, 50.53164;3;0;1
2.80642, 50.53999;2.80502, 50.53945;44;0;0
2.80649, 50.53606;2.80675, 50.53683;13;0;0
2.80649, 50.53606;2.80573, 50.53625;7;0;0
2.80649, 50.53831;2.80576, 50.53827;6;0;0
2.80649, 50.53831;2.80612, 50.53731;27;0;0
2.8065, 50.53164;2.80666, 50.53166;2;0;1
2.8065, 50.53164;2.80677, 50.53266;19;0;0
2.80661, 50.53045;2.80685, 50.53049;2;0;0
2.80666, 50.53166;2.80806, 50.53183;15;0;1
2.80666, 50.53166;2.80661, 50.53045;56;1;0
2.80675, 50.53683;2.80742, 50.5377;23;0;3
2.80677, 50.53266;2.80697, 50.53344;14;0;0
2.80685, 50.53049;2.80899, 50.53092;20;0;0
2.80685, 50.53049;2.80729, 50.52964;16;0;0
2.80688, 50.53834;2.80781, 50.53839;7;0;0
2.80688, 50.53834;2.80649, 50.53831;3;0;0
2.80697, 50.53344;2.80766, 50.53554;27;1;0
2.80697, 50.53344;2.80612, 50.53356;7;0;0
2.80721, 50.53976;2.80795, 50.53993;16;0;2
2.80721, 50.53976;2.80642, 50.53999;13;0;2
2.80723, 50.5273;2.80898, 50.52853;32;0;0
2.80723, 50.5273;2.80743, 50.52725;1;0;1
2.80729, 50.52964;2.8047, 50.52888;35;0;0
2.80738, 50.5326;2.80677, 50.53266;5;0;0
2.80748, 50.53336;2.80697, 50.53344;5;1;0
2.80748, 50.53336;2.80795, 50.5341;20;0;2
2.80756, 50.53932;2.80665, 50.5392;17;0;2
2.80756, 50.53932;2.80721, 50.53976;9;0;2
2.80757, 50.54581;2.80019, 50.5475;50;0;0
2.80757, 50.54581;2.80731, 50.55096;48;0;0
2.80766, 50.53554;2.80918, 50.5353;31;0;0
2.80766, 50.53554;2.80774, 50.53577;3;1;0
2.80774, 50.53577;2.80826, 50.53802;27;1;0
2.80774, 50.53577;2.80649, 50.53606;10;0;0
2.80781, 50.53839;2.80688, 50.53834;8;0;0
2.8079, 50.57924;2.8087, 50.58482;55;0;0
2.80795, 50.5341;2.80854, 50.534;5;0;2
2.80795, 50.5341;2.80806, 50.53438;4;0;2
2.80806, 50.53183;2.80899, 50.53092;21;1;0
2.80806, 50.53183;2.80896, 50.532;9;0;1
2.80816, 50.53841;2.80781, 50.53839;3;0;0
2.80816, 50.53841;2.8083, 50.53832;1;1;0
2.80826, 50.53802;2.80893, 50.53789;11;0;0
2.80826, 50.53802;2.8083, 50.53832;4;1;0
2.8083, 50.53832;2.80845, 50.53838;2;1;0
2.8083, 50.57381;2.80811, 50.57851;34;0;1
2.80833, 50.5385;2.80855, 50.53916;8;0;0
2.80833, 50.5385;2.80816, 50.53841;2;1;0
2.80845, 50.53838;2.80833, 50.5385;2;1;0
2.80855, 50.53916;2.80756, 50.53932;11;0;2
2.80855, 50.53916;2.80877, 50.53969;10;0;0
2.80863, 50.53838;2.80949, 50.53831;6;0;0
2.80863, 50.53838;2.80845, 50.53838;1;0;0
2.8087, 50.58482;2.80204, 50.58955;63;0;0
2.80877, 50.53969;2.80899, 50.54015;5;0;0
2.80877, 50.53969;2.81061, 50.53933;30;0;0
2.80893, 50.53789;2.80891, 50.53766;5;0;0
2.80896, 50.532;2.80946, 50.53101;58;1;0
2.80896, 50.532;2.81029, 50.53235;17;0;1
2.80899, 50.53092;2.80946, 50.53101;5;0;0
2.80899, 50.54015;2.80974, 50.54133;21;0;0
2.80899, 50.54015;2.81117, 50.53964;37;0;0
2.80902, 50.53811;2.80893, 50.53789;5;0;0
2.80946, 50.53101;2.80982, 50.53108;3;0;0
